doc,generator,real_length_ratio,synthetic_length_ratio
Pesni,random_edit_noise,0.8985899327758649,1.0257009345794392
Prezir,random_edit_noise,1.003435570199068,1.0260334460474698
Samecot,random_edit_noise,0.9767569086097023,1.0266142267827836
Toj,random_edit_noise,0.9829753032295777,1.0263042525208241
dnevnik_po_mnogu_godini,random_edit_noise,1.0005126638888282,1.0265821680228626
itar_pejo,random_edit_noise,1.128693039559339,1.0275940226128666
sina_pesna,random_edit_noise,1.025261758351338,1.0295163702841947
tajnopis,random_edit_noise,1.1111198448881203,1.0256249017450088
viktor_kupidon,random_edit_noise,1.0235472285924452,1.0242568473886893
Забите на Ветрот - Томе Арсовски,random_edit_noise,0.8611578484989378,1.027121099640115
Провиденија,random_edit_noise,0.9993797085758109,1.0255898407542743
Сите лица на смртта,random_edit_noise,0.9998682761371246,1.0268021470989648
Современост 7,random_edit_noise,1.0072236341617344,1.0266302215702663
Pesni,confusion_matrix_noise,0.8985899327758649,0.9204787670109854
Prezir,confusion_matrix_noise,1.003435570199068,0.915458982973758
Samecot,confusion_matrix_noise,0.9767569086097023,0.9180429671905727
Toj,confusion_matrix_noise,0.9829753032295777,0.9230965950606459
dnevnik_po_mnogu_godini,confusion_matrix_noise,1.0005126638888282,0.9164848709614084
itar_pejo,confusion_matrix_noise,1.128693039559339,0.9179031705452916
sina_pesna,confusion_matrix_noise,1.025261758351338,0.9212896792421472
tajnopis,confusion_matrix_noise,1.1111198448881203,0.9187758738143897
viktor_kupidon,confusion_matrix_noise,1.0235472285924452,0.9163515209207737
Забите на Ветрот - Томе Арсовски,confusion_matrix_noise,0.8611578484989378,0.9160396721218831
Провиденија,confusion_matrix_noise,0.9993797085758109,0.9198470699688727
Сите лица на смртта,confusion_matrix_noise,0.9998682761371246,0.917742106630467
Современост 7,confusion_matrix_noise,1.0072236341617344,0.9168813004247189
Pesni,structure_aware_noise,0.8985899327758649,0.8927693064436792
Prezir,structure_aware_noise,1.003435570199068,0.9123401674738948
Samecot,structure_aware_noise,0.9767569086097023,0.892054667593236
Toj,structure_aware_noise,0.9829753032295777,0.8404574017243899
dnevnik_po_mnogu_godini,structure_aware_noise,1.0005126638888282,0.9081077248631079
itar_pejo,structure_aware_noise,1.128693039559339,0.9109892909539749
sina_pesna,structure_aware_noise,1.025261758351338,0.8878178494266246
tajnopis,structure_aware_noise,1.1111198448881203,0.9035791018183724
viktor_kupidon,structure_aware_noise,1.0235472285924452,0.9024360694041799
Забите на Ветрот - Томе Арсовски,structure_aware_noise,0.8611578484989378,0.9096434286947297
Провиденија,structure_aware_noise,0.9993797085758109,0.904114223846258
Сите лица на смртта,structure_aware_noise,0.9998682761371246,0.9090922396349785
Современост 7,structure_aware_noise,1.0072236341617344,0.9085446978354683
Pesni,phase2_aligned_noise,0.8985899327758649,0.8914166256763404
Prezir,phase2_aligned_noise,1.003435570199068,0.9122941432868309
Samecot,phase2_aligned_noise,0.9767569086097023,0.8927003090207443
Toj,phase2_aligned_noise,0.9829753032295777,0.8446222417068537
dnevnik_po_mnogu_godini,phase2_aligned_noise,1.0005126638888282,0.9082113484151051
itar_pejo,phase2_aligned_noise,1.128693039559339,0.9117272399827812
sina_pesna,phase2_aligned_noise,1.025261758351338,0.8929699185640685
tajnopis,phase2_aligned_noise,1.1111198448881203,0.9010375727086936
viktor_kupidon,phase2_aligned_noise,1.0235472285924452,0.9030678032105923
Забите на Ветрот - Томе Арсовски,phase2_aligned_noise,0.8611578484989378,0.9104243355227837
Провиденија,phase2_aligned_noise,0.9993797085758109,0.9041931700275184
Сите лица на смртта,phase2_aligned_noise,0.9998682761371246,0.9101716435113191
Современост 7,phase2_aligned_noise,1.0072236341617344,0.9099561635423952
