model,regime,status,seed,primary_seed,val_predictions,test_predictions,val_metrics,efficiency,checkpoint_dir,error
identity,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/identity/real_only__seed42.json,,,
classical,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/classical/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/classical/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/classical/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/classical/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/classical/real_only,
neural,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/neural/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/neural/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/neural/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/neural/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/neural/real_only,
hybrid,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/hybrid/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/hybrid/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/hybrid/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/hybrid/real_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/hybrid/real_only,
identity,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/identity/synthetic_only__seed42.json,,,
classical,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/classical/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/classical/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/classical/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/classical/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/classical/synthetic_only,
neural,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/neural/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/neural/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/neural/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/neural/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/neural/synthetic_only,
hybrid,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/hybrid/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/hybrid/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/hybrid/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/hybrid/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/hybrid/synthetic_only,
identity,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/identity/synthetic_plus_real__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/identity/synthetic_plus_real__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/identity/synthetic_plus_real__seed42.json,,,
classical,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/classical/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/classical/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/classical/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/classical/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/classical/synthetic_plus_real,
neural,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/neural/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/neural/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/neural/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/neural/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/neural/synthetic_plus_real,
hybrid,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/val/hybrid/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/predictions/test_blind/hybrid/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/val_metrics/hybrid/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/efficiency/hybrid/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-vezilka/phase4/phase4_output/kfold/fold0/models/hybrid/synthetic_plus_real,
