model,regime,ece,bin_lo,bin_hi,count,mean_confidence,mean_accuracy,temperature,token_ece_pre,token_ece_post
identity,real_only,0.41901,0.0,0.1,0,0.0,0.0,,,
identity,real_only,0.41901,0.1,0.2,0,0.0,0.0,,,
identity,real_only,0.41901,0.2,0.3,0,0.0,0.0,,,
identity,real_only,0.41901,0.3,0.4,0,0.0,0.0,,,
identity,real_only,0.41901,0.4,0.5,0,0.0,0.0,,,
identity,real_only,0.41901,0.5,0.6,0,0.0,0.0,,,
identity,real_only,0.41901,0.6,0.7,0,0.0,0.0,,,
identity,real_only,0.41901,0.7,0.8,0,0.0,0.0,,,
identity,real_only,0.41901,0.8,0.9,0,0.0,0.0,,,
identity,real_only,0.41901,0.9,1.0,1459,1.0,0.58099,,,
identity,synthetic_only,0.57086,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_only,0.57086,0.9,1.0,3900,1.0,0.42914,,,
identity,synthetic_plus_real,0.52951,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_plus_real,0.52951,0.9,1.0,5359,1.0,0.47049,,,
