src,tgt,count
e,е,90
a,а,87
c,с,68
o,о,59
r,г,13
j,ј,11
p,р,7
a,е,4
y,у,4
B,В,4
T,Т,4
u,и,4
n,п,4
K,к,3
A,А,3
C,С,3
k,к,3
a,з,3
r,т,3
m,м,2
r,а,2
c,е,2
K,Ќ,2
e,о,2
a,о,2
H,Н,2
K,К,2
s,з,2
k,ќ,2
a,и,2
