src,tgt,count
?,“,57
 ,-,39
',"""",13
",",",",11
—,-,11
-,.,10
 ,.,9
",", ,8
., ,8
?,ѓ,6
",",.,5
 ,",",5
-,|,5
 ,:,4
",",т,4
-, ,4
м,-,4
-,м,3
е,",",3
н,-,3
а,-,3
м,!,3
",",е,3
’,"""",3
а,.,3
",",н,3
?, ,3
-,!,3
а,!,3
.,.,3
