src,tgt,count,rate_within_substitutions,rate_given_src_char
ќ,к,19,0.0012755102040816326,0.05956112852664577
Ќ,К,10,0.0006713211600429646,0.43478260869565216
к,ќ,7,0.00046992481203007516,0.022292993630573247
г,ѓ,5,0.0003356605800214823,0.0050968399592252805
љ,л,2,0.0001342642320085929,0.037037037037037035
К,Ќ,1,6.713211600429645e-05,0.05263157894736842
н,њ,1,6.713211600429645e-05,0.001098901098901099
