model,regime,ece,bin_lo,bin_hi,count,mean_confidence,mean_accuracy,temperature,token_ece_pre,token_ece_post
identity,real_only,0.47027,0.0,0.1,0,0.0,0.0,,,
identity,real_only,0.47027,0.1,0.2,0,0.0,0.0,,,
identity,real_only,0.47027,0.2,0.3,0,0.0,0.0,,,
identity,real_only,0.47027,0.3,0.4,0,0.0,0.0,,,
identity,real_only,0.47027,0.4,0.5,0,0.0,0.0,,,
identity,real_only,0.47027,0.5,0.6,0,0.0,0.0,,,
identity,real_only,0.47027,0.6,0.7,0,0.0,0.0,,,
identity,real_only,0.47027,0.7,0.8,0,0.0,0.0,,,
identity,real_only,0.47027,0.8,0.9,0,0.0,0.0,,,
identity,real_only,0.47027,0.9,1.0,244,1.0,0.52973,,,
identity,synthetic_only,0.62847,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_only,0.62847,0.9,1.0,1406,1.0,0.37153,,,
identity,synthetic_plus_real,0.60508,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_plus_real,0.60508,0.9,1.0,1650,1.0,0.39492,,,
