model,regime,subset_domain,n,cer,wer,chrf,sentence_accuracy
identity,real_only,prose,244,0.11151,0.18151,0.91293,0.0
identity,synthetic_only,prose,1406,0.20237,0.47252,0.77172,0.0
identity,synthetic_plus_real,prose,1650,0.18893,0.42948,0.79261,0.0
