gt,ocr,count
",",;,959
г,т,791
 , ,712
е,с,352
а,а,305
о,о,264
е,е,240
а, ,235
о, ,214
н,и,213
а,е,200
и,н,195
 ,а,180
н,м,178
и,и,171
т,т,167
а,о,166
а,и,163
о,О,159
и, ,157
с,c,157
е,e,145
е, ,141
 ,о,139
и,И,138
ѕ,з,131
о,а,127
.,:,125
 ,е,124
н,н,123
