src,tgt,count
",",;,959
.,:,125
 ,",",58
?,“,57
",", ,55
 ,-,51
., ,46
т,-,30
",",",",26
“,"""",26
",",а,23
н,-,22
",",т,19
 ,.,17
",",о,17
в,-,16
",",е,16
",",и,16
„,",",16
а,",",15
",",н,15
',"""",14
 ,:,14
 ,;,13
С,(,13
р,-,12
с,-,11
",",в,11
о,",",11
—,-,11
