src,tgt,count
ќ,к,95
Ќ,К,24
љ,л,9
к,ќ,7
г,ѓ,7
њ,н,5
ѓ,г,3
Г,Ѓ,3
Ѓ,Г,3
К,Ќ,1
н,њ,1
