regime,system,vs_baseline,n,cer_mean_delta,cer_ci_low,cer_ci_high,cer_p_value,wer_mean_delta,wer_p_value
real_only,neural,identity,1122,0.008117,0.003594,0.012444,0.002,0.009527,0.0
real_only,hybrid,identity,1122,-2.6e-05,-9.8e-05,3.4e-05,0.418,-0.00016,0.428
synthetic_only,neural,identity,4693,-0.031075,-0.033302,-0.028833,0.0,-0.16607,0.0
synthetic_only,hybrid,identity,4693,-0.00515,-0.00632,-0.004074,0.0,-0.033035,0.0
synthetic_plus_real,neural,identity,5815,-0.025383,-0.027434,-0.023432,0.0,-0.138258,0.0
synthetic_plus_real,hybrid,identity,5815,-0.003786,-0.004768,-0.002934,0.0,-0.024135,0.0
