model,regime,status,seed,primary_seed,val_predictions,test_predictions,val_metrics,efficiency,checkpoint_dir,error
identity,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/val/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/test_blind/identity/real_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/val_metrics/identity/real_only__seed42.json,,,
hybrid,real_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/val/hybrid/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/test_blind/hybrid/real_only.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/val_metrics/hybrid/real_only.json,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/efficiency/hybrid/real_only.json,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/models/hybrid/real_only,
identity,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/val/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/test_blind/identity/synthetic_only__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/val_metrics/identity/synthetic_only__seed42.json,,,
hybrid,synthetic_only,success,42,42,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/val/hybrid/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/test_blind/hybrid/synthetic_only.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/val_metrics/hybrid/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/efficiency/hybrid/synthetic_only.json,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/models/hybrid/synthetic_only,
identity,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/val/identity/synthetic_plus_real__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/test_blind/identity/synthetic_plus_real__seed42.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/val_metrics/identity/synthetic_plus_real__seed42.json,,,
hybrid,synthetic_plus_real,success,42,42,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/val/hybrid/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/predictions/test_blind/hybrid/synthetic_plus_real.jsonl,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/val_metrics/hybrid/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/efficiency/hybrid/synthetic_plus_real.json,/home/hpc/users/martina.najdovska/ocr-hybrid/ocr-vezilka/phase4/phase4_output/models/hybrid/synthetic_plus_real,
