model,regime,ece,bin_lo,bin_hi,count,mean_confidence,mean_accuracy
neural,real_only,0.99721,0.4,0.5,0,0.0,0.0
neural,real_only,0.99721,0.5,0.6,0,0.0,0.0
neural,real_only,0.99721,0.6,0.7,0,0.0,0.0
neural,real_only,0.99721,0.7,0.8,0,0.0,0.0
neural,real_only,0.99721,0.8,0.9,0,0.0,0.0
neural,real_only,0.99721,0.9,1.0,1432,1.0,0.00279
hybrid,real_only,0.26451,0.0,0.1,1018,0.00047,0.0
hybrid,real_only,0.26451,0.1,0.2,12,0.16086,0.0
hybrid,real_only,0.26451,0.2,0.3,6,0.2325,0.0
hybrid,real_only,0.26451,0.3,0.4,9,0.37187,0.0
hybrid,real_only,0.26451,0.4,0.5,7,0.44282,0.0
hybrid,real_only,0.26451,0.5,0.6,2,0.55657,0.0
hybrid,real_only,0.26451,0.6,0.7,7,0.64979,0.0
hybrid,real_only,0.26451,0.7,0.8,9,0.78488,0.0
hybrid,real_only,0.26451,0.8,0.9,10,0.84751,0.0
hybrid,real_only,0.26451,0.9,1.0,352,0.99809,0.01136
hybrid,synthetic_only,0.38874,0.0,0.1,2834,0.00046,0.0
hybrid,synthetic_only,0.38874,0.1,0.2,36,0.14518,0.0
hybrid,synthetic_only,0.38874,0.2,0.3,17,0.24457,0.0
hybrid,synthetic_only,0.38874,0.3,0.4,41,0.35027,0.0
hybrid,synthetic_only,0.38874,0.4,0.5,30,0.44507,0.0
hybrid,synthetic_only,0.38874,0.5,0.6,42,0.54899,0.0
hybrid,synthetic_only,0.38874,0.6,0.7,38,0.64452,0.0
hybrid,synthetic_only,0.38874,0.7,0.8,31,0.76011,0.0
hybrid,synthetic_only,0.38874,0.8,0.9,30,0.85153,0.0
hybrid,synthetic_only,0.38874,0.9,1.0,1860,0.99929,0.03548
hybrid,synthetic_plus_real,0.39457,0.0,0.1,3618,0.00055,0.0
hybrid,synthetic_plus_real,0.39457,0.1,0.2,54,0.14911,0.0
hybrid,synthetic_plus_real,0.39457,0.2,0.3,48,0.25363,0.0
hybrid,synthetic_plus_real,0.39457,0.3,0.4,44,0.34724,0.0
hybrid,synthetic_plus_real,0.39457,0.4,0.5,49,0.44945,0.0
hybrid,synthetic_plus_real,0.39457,0.5,0.6,53,0.55107,0.0
hybrid,synthetic_plus_real,0.39457,0.6,0.7,50,0.65157,0.0
hybrid,synthetic_plus_real,0.39457,0.7,0.8,52,0.76006,0.0
hybrid,synthetic_plus_real,0.39457,0.8,0.9,60,0.84993,0.0
hybrid,synthetic_plus_real,0.39457,0.9,1.0,2363,0.99911,0.02158
>>>>>>>> 0d4429687786a259500443e610980f32ee0fcfad:phase4/phase4_output/paper_tables_hybrid/calibration.csv
