model,regime,ece,bin_lo,bin_hi,count,mean_confidence,mean_accuracy,temperature,token_ece_pre,token_ece_post
identity,real_only,0.62698,0.0,0.1,0,0.0,0.0,,,
identity,real_only,0.62698,0.1,0.2,0,0.0,0.0,,,
identity,real_only,0.62698,0.2,0.3,0,0.0,0.0,,,
identity,real_only,0.62698,0.3,0.4,0,0.0,0.0,,,
identity,real_only,0.62698,0.4,0.5,0,0.0,0.0,,,
identity,real_only,0.62698,0.5,0.6,0,0.0,0.0,,,
identity,real_only,0.62698,0.6,0.7,0,0.0,0.0,,,
identity,real_only,0.62698,0.7,0.8,0,0.0,0.0,,,
identity,real_only,0.62698,0.8,0.9,0,0.0,0.0,,,
identity,real_only,0.62698,0.9,1.0,355,1.0,0.37302,,,
identity,synthetic_only,0.5711,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_only,0.5711,0.9,1.0,655,1.0,0.4289,,,
identity,synthetic_plus_real,0.59074,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_plus_real,0.59074,0.9,1.0,1010,1.0,0.40926,,,
