model,regime,ece,bin_lo,bin_hi,count,mean_confidence,mean_accuracy,temperature,token_ece_pre,token_ece_post
identity,real_only,0.39071,0.0,0.1,0,0.0,0.0,,,
identity,real_only,0.39071,0.1,0.2,0,0.0,0.0,,,
identity,real_only,0.39071,0.2,0.3,0,0.0,0.0,,,
identity,real_only,0.39071,0.3,0.4,0,0.0,0.0,,,
identity,real_only,0.39071,0.4,0.5,0,0.0,0.0,,,
identity,real_only,0.39071,0.5,0.6,0,0.0,0.0,,,
identity,real_only,0.39071,0.6,0.7,0,0.0,0.0,,,
identity,real_only,0.39071,0.7,0.8,0,0.0,0.0,,,
identity,real_only,0.39071,0.8,0.9,0,0.0,0.0,,,
identity,real_only,0.39071,0.9,1.0,1557,1.0,0.60929,,,
identity,synthetic_only,0.55091,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_only,0.55091,0.9,1.0,6647,1.0,0.44909,,,
identity,synthetic_plus_real,0.5205,0.0,0.1,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.1,0.2,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.2,0.3,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.3,0.4,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.4,0.5,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.5,0.6,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.6,0.7,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.7,0.8,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.8,0.9,0,0.0,0.0,,,
identity,synthetic_plus_real,0.5205,0.9,1.0,8204,1.0,0.4795,,,
