model,regime,subset_domain,n,cer,wer,chrf,sentence_accuracy
identity,real_only,prose,1557,0.11253,0.21963,0.87361,0.0
identity,synthetic_only,prose,6647,0.11138,0.43868,0.77683,0.0
identity,synthetic_plus_real,prose,8204,0.1116,0.39711,0.7952,0.0
